user,text
SaravavnanM,@realDonaldTrump @realDonaldTrump Mr.President  Would you stop interrupting the Vice president  Joe biden  While he… https://t.co/krgm1YHsv7
ALLONESUN,"@realDonaldTrump @stillgray Because chris wallace is an evil communist jew!!! So is president of cnn, nbc, cbs, mos… https://t.co/BhozQ03HkE"
SuperJewGirl,@realDonaldTrump https://t.co/S4E31Acq4k
thee_Toker,@realDonaldTrump You forgot to put his earpiece on or his note cards that he had to look at so he knows what to say… https://t.co/yvRXX5yUKF
bluzygrl,"@realDonaldTrump Loser! If you can’t figure it out, I’m referring to you @realDonaldTrump as the loser."
priyeshhere,@realDonaldTrump Sir humare yaha ek journo hai Arnab goswami usse interview do... Bhaukaal mach jayegaa
seyedebrahimi_m,@realDonaldTrump Do not shout!  I saw the first debate!  You lose! https://t.co/1NPyhR2xqw
ReaderAdrift,@realDonaldTrump You agreed to debate rules and then you broke them over and over and over.  Keeping you to the rul… https://t.co/k1FzvBgJME
csbihl,@realDonaldTrump Chris Wallace was terrible
lisakayemundy,@realDonaldTrump #Trump2020Landslide
PeteJMcGill,@realDonaldTrump #LiarInChief
Jameydyer,@realDonaldTrump You need Joe Rogan to moderate
Charlotte115030,"@realDonaldTrump Yo tRump, do you know 9 out of 10 of your Twitter followers are trolling you? You didn't really th… https://t.co/rlewk3JPb9"
xiotien,@realDonaldTrump Exactly 😌
mikeaimfire,@realDonaldTrump https://t.co/IbulaTzA3Y
jimwmex,@realDonaldTrump https://t.co/geQTQp7UOI
xenoticc,@realDonaldTrump Most Trump supporters act like brain washed idiots. They all seem to talk the same
Taikuri,@realDonaldTrump Trump VS Truth
patkim01,@realDonaldTrump It was disgusting to watch. It was an absolute disgrace. It’s damaged the highly regarded reputati… https://t.co/dKtXDx3e0f
kun959108,@realDonaldTrump @Lucas20200604 You won sir
inDUCKtriNATION,"@realDonaldTrump The only reason it was ""vs"" Chris Wallace is because you can't shut the hell up, man.  I hope next… https://t.co/tjkGt7tFNi"
bkfViking123,@realDonaldTrump @FightingbackHD https://t.co/8Wu1mYzktG
neoncityfux,@realDonaldTrump This was the funniest debate in all of American history 😂😂😂.
pixiemenace,"@realDonaldTrump Trump was a racist disgrace. He just told every Black person, Jewish person and immigrant that he… https://t.co/Tn3H4QOhqS"
